what,kind,bundleId,bundleVersion,description,time
error,log,,,"Resource '/FmCal/www/com.folder.calendario.FmCal/js/ext/resources/images/default/grid' does not exist.",1383769210546
error,log,,,"Resource '/FmCal/src/com/folder/calendario/client/date/week/staend' does not exist.",1383769210551
error,log,,,"Resource '/fm-bz/ejbModule/com/asofarma/fm/action/bz' does not exist.",1383769210555
error,log,,,"Resource '/FmCal/bin/com/folder/calendario/public/themes/silverCherry/images/silverCherry' does not exist.",1383769210559
error,log,,,"Resource '/FmCal/src/com/folder/calendario/public/themes/silverCherry/images/silverCherry' does not exist.",1383769210563
error,log,,,"Resource '/FmCal/src/com/folder/calendario/public/themes/silverCherry/images/silverCherry' does not exist.",1383769210567
error,log,,,"Resource '/external/birt-runtime-2_6_2/WebViewerExample/webcontent/birt/images' does not exist.",1383769210571
error,log,,,"Resource '/external/birt-runtime-2_6_2/WebViewerExample/WEB-INF/platform/plugins/org.eclipse.core.runtime.compatibility.registry_3.3.0.v20100520/META-INF' does not exist.",1383769210586
error,log,,,"Resource '/FmCal/src/com/folder/calendario/public/js/ext/resources/images/vista/layout' does not exist.",1383769210591
error,log,,,"Resource '/external/birt-runtime-osgi-3_7_2/birt-runtime-osgi-3_7_2/WebViewerExample/WEB-INF/lib' does not exist.",1383769210595
error,log,,,"Resource '/external/zk-theme/fm/web/fm/img/zul' does not exist.",1383769210599
error,log,,,"Resource '/fm-import/src/com/asofarma/fm/util' does not exist.",1383769210603
error,log,,,"Resource '/fm-obj/src/com/asofarma/fm/fe/model' does not exist.",1383769210607
error,log,,,"Resource '/external/zk-theme/fm/web/fm/img/zul/grid' does not exist.",1383769210611
error,log,,,"Resource '/fm-bz/ejbModule/com/asofarma/fm/security' does not exist.",1383769210614
error,log,,,"Resource '/external/birt-runtime-osgi-3_7_2/birt-runtime-osgi-3_7_2/WebViewerExample/WEB-INF/platform/plugins' does not exist.",1383769210619
error,log,,,"Resource '/fm-bz/ejbModule/com/asofarma/fm/contact/dao/spi' does not exist.",1383769210622
error,log,,,"Resource '/fm-obj/src/com/asofarma/fm/category/model' does not exist.",1383769210626
error,log,,,"Resource '/fm-bz/ejbModule/com/asofarma/fm/confsys/dao/spi' does not exist.",1383769210630
error,log,,,"Resource '/FmCal/src/com/folder/calendario/public/js/ext/resources/images/default/grid' does not exist.",1383769210634
error,log,,,"Resource '/FmCal/src/com/folder/calendario/public/themes/silverCherry/images/silverCherry' does not exist.",1383769210641
error,log,,,"Resource '/FmCal/src/com/folder/calendario/public/js/ext/resources/images/vista' does not exist.",1383769210645
error,log,,,"Resource '/fm-bz/ejbModule/com/asofarma/fm/bb/bz/spi' does not exist.",1383769210649
error,log,,,"Resource '/fm-obj/src/com/asofarma/fm/contact/model' does not exist.",1383769210653
error,log,,,"Resource '/FmCal/bin/com/folder/calendario/public/themes/silverCherry/images/silverCherry' does not exist.",1383769210657
error,log,,,"Resource '/external/birt-runtime-osgi-3_7_2/birt-runtime-osgi-3_7_2/WebViewerExample/WEB-INF/platform/plugins' does not exist.",1383769210660
error,log,,,"Resource '/fm-bz/ejbModule/com/asofarma/fm/bb/dao' does not exist.",1383769210665
error,log,,,"Resource '/FmCal/src/com/folder/calendario/public/themes/silverCherry/images/silverCherry' does not exist.",1383769210670
error,log,,,"Resource '/FmCal/www/com.folder.calendario.FmCal/js/ext/resources/images/default/tabs' does not exist.",1383769210674
error,log,,,"Resource '/FmCal/bin/com/folder/calendario/public/themes/silverCherry/images/silverCherry/masters' does not exist.",1383769210678
error,log,,,"Resource '/FmCal/src/com/folder/calendario/public/js/ext/resources/images/default' does not exist.",1383769210683
error,log,,,"Resource '/external/zk-theme/fm/web/fm/img/zul/button' does not exist.",1383769210689
error,log,,,"Resource '/external/birt-runtime-osgi-3_7_2/birt-runtime-osgi-3_7_2/WebViewerExample/WEB-INF/lib' does not exist.",1383769210693
error,log,,,"Resource '/fm-import/src/com/asofarma/fm/util' does not exist.",1383769210697
error,log,,,"Resource '/fm-obj/src/com/asofarma/fm/action/model' does not exist.",1383769210702
error,log,,,"Resource '/fm-obj/src/com/asofarma/fm/promotion/model' does not exist.",1383769210706
error,log,,,"Resource '/FmCal/bin/com/folder/calendario/public/themes/silverCherry/images/silverCherry/sizer' does not exist.",1383769210710
error,log,,,"Resource '/fm-obj/src/com/asofarma/fm/action/model' does not exist.",1383769210714
error,log,,,"Resource '/external/birt-runtime-osgi-3_7_2/birt-runtime-osgi-3_7_2/ReportEngine/plugins/org.w3c.sac_1.3.0.v20120213/META-INF' does not exist.",1383769210719
error,log,,,"Resource '/FmCal/bin/com/folder/calendario/public/js/ext/resources/images/gray/panel' does not exist.",1383769210723
error,log,,,"Resource '/fm-obj/src/com/asofarma/fm/contact/model' does not exist.",1383769210728
error,log,,,"Resource '/FmCal/src/com/folder/calendario/public/js/ext/resources/images/default/tree' does not exist.",1383769210732
error,log,,,"Resource '/FmCal/src/com/folder/calendario/public/js/ext/resources/images/vista/sizer' does not exist.",1383769210735
error,log,,,"Resource '/FmCal/bin/com/folder/calendario/public/js/ext/resources/images/gray' does not exist.",1383769210739
error,log,,,"Resource '/fm-obj/src/com/asofarma/fm/wf/model' does not exist.",1383769210743
error,log,,,"Resource '/external/birt-runtime-osgi-3_7_2/birt-runtime-osgi-3_7_2/WebViewerExample/WEB-INF/platform/plugins' does not exist.",1383769210746
error,log,,,"Resource '/FmCal/bin/com/folder/calendario/public/js/ext/resources/images/default' does not exist.",1383769210751
error,log,,,"Resource '/FmCal/www/com.folder.calendario.FmCal/js/ext/resources/images/default/grid' does not exist.",1383769210755
error,log,,,"Resource '/FmCal/bin/com/folder/calendario/public/js/ext/resources/images/default/tree' does not exist.",1383769210758
error,log,,,"Resource '/external/birt-runtime-osgi-3_7_2/birt-runtime-osgi-3_7_2/WebViewerExample/webcontent/birt/ajax/utility' does not exist.",1383769210761
error,log,,,"Resource '/fm-bz/ejbModule/com/asofarma/fm/promotion/bz/spi' does not exist.",1383769210765
error,log,,,"Resource '/fm-bz/ejbModule/com/asofarma/fm/promotion/bz/spi' does not exist.",1383769210769
error,log,,,"Resource '/FmCal/src/com/folder/calendario/public/themes/silverCherry/images/silverCherry/masters' does not exist.",1383769210772
error,log,,,"Resource '/FmCal/bin/com/folder/calendario/public/js/ext/resources/images/default' does not exist.",1383769210776
error,log,,,"Resource '/FmCal/src/com/folder/calendario/public/themes/silverCherry/images/silverCherry' does not exist.",1383769210780
error,log,,,"Resource '/external/zk-theme/fm/web/fm/img/zul/grid' does not exist.",1383769210782
error,log,,,"Resource '/fm-obj/src/com/asofarma/fm/wf/model' does not exist.",1383769210786
error,log,,,"Resource '/FmCal/bin/com/folder/calendario/public/js/ext/resources/images/default/qtip' does not exist.",1383769210788
error,log,,,"Resource '/FmCal/src/com/folder/calendario/public/js/ext/resources/css' does not exist.",1383769210791
error,log,,,"Resource '/FmCal/src/com/folder/calendario/public/js/ext/resources/images/gray/tabs' does not exist.",1383769210795
error,log,,,"Resource '/external/birt-runtime-2_6_2/WebViewerExample/webcontent/birt/images' does not exist.",1383769210798
error,log,,,"Resource '/FmCal/www/com.folder.calendario.FmCal/js/ext/resources/images/default/panel' does not exist.",1383769210801
error,log,,,"Resource '/external/birt-runtime-2_6_2/WebViewerExample/WEB-INF/platform/plugins' does not exist.",1383769210804
error,log,,,"Resource '/FmCal/www/com.folder.calendario.FmCal/js/ext/resources/images/gray/panel' does not exist.",1383769210807
error,log,,,"Resource '/FmCal/src/com/folder/calendario/public/js/ext/resources/images/default/box' does not exist.",1383769210810
error,log,,,"Resource '/FmCal/src/com/folder/calendario/public/js/ext/resources/css' does not exist.",1383769210816
error,log,,,"Resource '/FmCal/bin/com/folder/calendario/public/js/ext/resources/images/vista/layout' does not exist.",1383769210821
error,log,,,"Resource '/FmCal/src/com/folder/calendario/public/themes/silverCherry/images/silverCherry' does not exist.",1383769210825
error,log,,,"Resource '/FmCal/src/com/folder/calendario/public/js/ext/resources/images/default/grid' does not exist.",1383769210829
error,log,,,"Resource '/external/birt-runtime-2_6_2/WebViewerExample/webcontent/birt/ajax/ui/app' does not exist.",1383769210834
error,log,,,"Resource '/FmCal/src/com/folder/calendario/client/date/week/staend' does not exist.",1383769210838
error,log,,,"Resource '/FmCal/src/com/folder/calendario/public/js/ext/resources/images/default/grid' does not exist.",1383769210842
error,log,,,"Resource '/FmCal/bin/com/folder/calendario/public/themes/silverCherry/images/silverCherry' does not exist.",1383769210846
error,log,,,"Resource '/fm-bz/ejbModule/com/asofarma/fm/promotion/dao/spi' does not exist.",1383769210849
