what,kind,bundleId,bundleVersion,description,time
error,log,,,"Resource '/FmCal/src/com/folder/calendario/public/js/ext/resources/images/vista/basic-dialog' does not exist.",1383769213126
error,log,,,"Resource '/FmCal/src/com/folder/calendario/public/js/ext/resources/images/default/shared' does not exist.",1383769213130
error,log,,,"Resource '/fm-obj/src/com/asofarma/fm/contact/model' does not exist.",1383769213134
error,log,,,"Resource '/FmCal/bin/com/folder/calendario/public/themes/silverCherry/images/silverCherry' does not exist.",1383769213138
error,log,,,"Resource '/FmCal/bin/com/folder/calendario/client/date/week/staend' does not exist.",1383769213142
error,log,,,"Resource '/fm-obj/src/com/asofarma/fm/filteradv/model' does not exist.",1383769213145
error,log,,,"Resource '/fm-bz/ejbModule/com/asofarma/fm/category/dao/spi' does not exist.",1383769213149
error,log,,,"Resource '/fm-com/src/com/asofarma/fm/conf/exception' does not exist.",1383769213153
error,log,,,"Resource '/FmCal/bin/com/folder/calendario/public/js/ext/resources/images/default/window' does not exist.",1383769213157
error,log,,,"Resource '/fm-obj/src/com/asofarma/fm/wf/model' does not exist.",1383769213162
error,log,,,"Resource '/FmCal/src/com/folder/calendario/client/date/week/staend' does not exist.",1383769213166
error,log,,,"Resource '/external/birt-runtime-2_6_2/WebViewerExample/webcontent/birt/ajax/ui/report' does not exist.",1383769213169
error,log,,,"Resource '/FmCal/bin/com/folder/calendario/public/js/ext/resources/images/default/grid' does not exist.",1383769213173
error,log,,,"Resource '/FmCal/bin/com/folder/calendario/public/js/ext/resources' does not exist.",1383769213179
error,log,,,"Resource '/FmCal/bin/com/folder/calendario/public/themes/silverCherry/images/silverCherry' does not exist.",1383769213199
error,log,,,"Resource '/fm-obj/src/com/asofarma/fm/fe/dictionary' does not exist.",1383769213204
error,log,,,"Resource '/external/birt-runtime-osgi-3_7_2/birt-runtime-osgi-3_7_2/WebViewerExample/webcontent/birt/images' does not exist.",1383769213208
error,log,,,"Resource '/fm-bz/ejbModule/com/asofarma/fm/security/dao' does not exist.",1383769213212
error,log,,,"Resource '/external/birt-runtime-osgi-3_7_2/birt-runtime-osgi-3_7_2/ReportEngine/plugins/org.eclipse.birt.report.data.oda.jdbc_3.7.2.v20120213/META-INF' does not exist.",1383769213216
error,log,,,"Resource '/FmCal/www/com.folder.calendario.FmCal/js/ext/resources/images/default/dd' does not exist.",1383769213220
error,log,,,"Resource '/fm-bz/ejbModule/com/asofarma/fm/fe/dao/spi' does not exist.",1383769213225
error,log,,,"Resource '/external/birt-runtime-2_6_2/WebViewerExample/webcontent/birt/ajax/ui/dialog' does not exist.",1383769213228
error,log,,,"Resource '/FmCal/bin/com/folder/calendario/public/js/ext/resources/images/default/grid' does not exist.",1383769213230
error,log,,,"Resource '/external/zk-theme/fm/web/fm/img/zul/button' does not exist.",1383769213234
error,log,,,"Resource '/FmCal/bin/com/folder/calendario/public/js/ext/resources/css' does not exist.",1383769213239
error,log,,,"Resource '/fm-bz/ejbModule/com/asofarma/fm/imports' does not exist.",1383769213242
error,log,,,"Resource '/FmCal/www/com.folder.calendario.FmCal/js/ext/resources/images/vista/toolbar' does not exist.",1383769213247
error,log,,,"Resource '/FmCal/src/com/folder/calendario/public/themes/silverCherry/images/silverCherry' does not exist.",1383769213251
error,log,,,"Resource '/fm-obj/src/com/asofarma/fm/category/model' does not exist.",1383769213256
error,log,,,"Resource '/external/birt-runtime-osgi-3_7_2/birt-runtime-osgi-3_7_2/WebViewerExample/WEB-INF/platform/plugins' does not exist.",1383769213260
error,log,,,"Resource '/FmCal/bin/com/folder/calendario/public/js/ext/resources/images/default/grid' does not exist.",1383769213266
error,log,,,"Resource '/FmCal/src/com/folder/calendario/public/js/ext/resources/images/vista/basic-dialog' does not exist.",1383769213270
error,log,,,"Resource '/FmCal/src/com/folder/calendario/public/js/ext/resources/images/gray/window' does not exist.",1383769213276
error,log,,,"Resource '/FmCal/src/com/folder/calendario/public/themes/silverCherry/images/silverCherry' does not exist.",1383769213281
error,log,,,"Resource '/FmCal/www/com.folder.calendario.FmCal/js/ext/resources/images/default/toolbar' does not exist.",1383769213285
error,log,,,"Resource '/fm-bz/ejbModule/com/asofarma/fm/category/dao' does not exist.",1383769213342
