what,kind,bundleId,bundleVersion,description,time
error,log,,,"Resource '/FmCal/src/com/folder/calendario/public/js/ext/resources/images/vista/tabs' does not exist.",1383769218676
error,log,,,"Resource '/external/birt-runtime-2_6_2/WebViewerExample/webcontent/birt/images' does not exist.",1383769218679
error,log,,,"Resource '/external/birt-runtime-osgi-3_7_2/birt-runtime-osgi-3_7_2/ReportEngine/plugins/org.apache.derby.core_10.5.1.1_v20120213/META-INF' does not exist.",1383769218684
error,log,,,"Resource '/FmCal/bin/com/folder/calendario/public/themes/silverCherry/images/silverCherry/masters' does not exist.",1383769218690
error,log,,,"Resource '/fm-bz/ejbModule/com/asofarma/fm/calendar/bz/spi' does not exist.",1383769218694
error,log,,,"Resource '/fm-bz/ejbModule/com/asofarma/fm/wf/dao' does not exist.",1383769218698
error,log,,,"Resource '/FmCal/bin/com/folder/calendario/public/js/ext/resources/images/vista/basic-dialog' does not exist.",1383769218702
error,log,,,"Resource '/FmCal/bin/com/folder/calendario/public/js/ext/resources/images/gray/tabs' does not exist.",1383769218705
error,log,,,"Resource '/external/birt-runtime-2_6_2/ReportEngine/plugins/org.w3c.sac_1.3.0.v20100915/META-INF' does not exist.",1383769218709
error,log,,,"Resource '/FmCal/bin/com/folder/calendario/public/js/ext/resources/images/default/layout' does not exist.",1383769218713
error,log,,,"Resource '/fm-bz/ejbModule/com/asofarma/fm/wf/aspect' does not exist.",1383769218717
error,log,,,"Resource '/FmCal/src/com/folder/calendario/public/themes/silverCherry/images/silverCherry' does not exist.",1383769218720
error,log,,,"Resource '/external/zk-theme/fm/web/fm/img/zul/slider2' does not exist.",1383769218723
error,log,,,"Resource '/FmCal/src/com/folder/calendario/public/js/ext/resources/images/default/layout' does not exist.",1383769218726
error,log,,,"Resource '/external/zk-theme/fm/web/fm/img/zul' does not exist.",1383769218730
error,log,,,"Resource '/fm-bz/ejbModule/com/asofarma/fm/promotion/bz/spi' does not exist.",1383769218749
error,log,,,"Resource '/fm-import/src/com/asofarma/fm/util' does not exist.",1383769218753
error,log,,,"Resource '/external/birt-runtime-osgi-3_7_2/birt-runtime-osgi-3_7_2/WebViewerExample/webcontent/birt/pages/layout' does not exist.",1383769218757
error,log,,,"Resource '/FmCal/www/com.folder.calendario.FmCal/js/ext/resources/images/gray/tabs' does not exist.",1383769218762
error,log,,,"Resource '/fm-obj/src/com/asofarma/fm/fe/model' does not exist.",1383769218767
error,log,,,"Resource '/FmCal/bin/com/folder/calendario/public/themes/silverCherry/images/silverCherry' does not exist.",1383769218770
error,log,,,"Resource '/FmCal/src/com/folder/calendario/public/themes/silverCherry/images/silverCherry/masters' does not exist.",1383769218773
error,log,,,"Resource '/external/zk-theme/fm/web/fm/img/zul/wnd' does not exist.",1383769218777
error,log,,,"Resource '/FmCal/www/com.folder.calendario.FmCal/js/ext/resources/images/default/tree' does not exist.",1383769218782
error,log,,,"Resource '/fm-bz/ejbModule/com/asofarma/fm/wf/dao/spi' does not exist.",1383769218787
error,log,,,"Resource '/fm-bz/ejbModule/com/asofarma/fm/security/dao/spi' does not exist.",1383769218791
error,log,,,"Resource '/FmCal/www/com.folder.calendario.FmCal/js/ext/resources/images/default/grid' does not exist.",1383769218796
error,log,,,"Resource '/fm-bz/ejbModule/com/asofarma/fm/category/dao/spi' does not exist.",1383769218801
error,log,,,"Resource '/external/birt-runtime-2_6_2/WebViewerExample/WEB-INF/platform/plugins/org.eclipse.core.runtime.compatibility.registry_3.3.0.v20100520/META-INF' does not exist.",1383769218804
error,log,,,"Resource '/FmCal/www/com.folder.calendario.FmCal/js/ext/resources/images/vista/sizer' does not exist.",1383769218808
error,log,,,"Resource '/external/zk-theme/fm/web/fm/img/zul/sort' does not exist.",1383769218813
error,log,,,"Resource '/FmCal/bin/com/folder/calendario/public/js/ext/resources/images/default/toolbar' does not exist.",1383769218817
error,log,,,"Resource '/external/birt-runtime-2_6_2/WebViewerExample/webcontent/birt/ajax/core' does not exist.",1383769218821
error,log,,,"Resource '/FmCal/bin/com/folder/calendario/public/themes/silverCherry/images/silverCherry/button' does not exist.",1383769218824
error,log,,,"Resource '/fm-obj/src/com/asofarma/fm/fe/model' does not exist.",1383769218827
error,log,,,"Resource '/FmCal/src/com/folder/calendario/public/js/ext/resources/images/default/window' does not exist.",1383769218831
error,log,,,"Resource '/FmCal/src/com/folder/calendario/public/js/ext/resources/images/default/window' does not exist.",1383769218835
error,log,,,"Resource '/fm-bz/ejbModule/com/asofarma/fm/action/dao' does not exist.",1383769218839
error,log,,,"Resource '/FmCal/www/com.folder.calendario.FmCal/js/ext/resources/images/default/grid' does not exist.",1383769218843
error,log,,,"Resource '/FmCal/bin/com/folder/calendario/public/themes/silverCherry/images/silverCherry/masters' does not exist.",1383769218847
error,log,,,"Resource '/external/birt-runtime-2_6_2/ReportEngine/plugins/org.eclipse.birt.report.data.oda.sampledb_2.6.2.r262_v20110127/META-INF' does not exist.",1383769218851
error,log,,,"Resource '/external/zk-theme/fm/web/fm/img/zul/splt' does not exist.",1383769218854
error,log,,,"Resource '/fm-obj/src/com/asofarma/fm/fe/validator' does not exist.",1383769218857
error,log,,,"Resource '/FmCal/bin/com/folder/calendario/public/js/ext/resources/images/default/tree' does not exist.",1383769218860
error,log,,,"Resource '/external/birt-runtime-2_6_2/WebViewerExample/webcontent/birt/ajax/ui/dialog' does not exist.",1383769218864
error,log,,,"Resource '/external/zk-theme/fm/web/fm/img/zul/wnd' does not exist.",1383769218869
error,log,,,"Resource '/FmCal/bin/com/folder/calendario/public/js/ext/resources/images/default/grid' does not exist.",1383769218872
error,log,,,"Resource '/FmCal/bin/com/folder/calendario/public/themes/silverCherry/images/silverCherry/dd' does not exist.",1383769218875
error,log,,,"Resource '/FmCal/src/com/folder/calendario/public/themes/silverCherry/images/silverCherry' does not exist.",1383769218879
error,log,,,"Resource '/FmCal/bin/com/folder/calendario/public/js/ext/resources/images/vista/sizer' does not exist.",1383769218882
