what,kind,bundleId,bundleVersion,description,time
error,log,,,"Resource '/fm-bz/ejbModule/com/asofarma/fm/imports' does not exist.",1383769209493
error,log,,,"Resource '/external/birt-runtime-2_6_2/WebViewerExample/webcontent/birt/images' does not exist.",1383769209497
error,log,,,"Resource '/FmCal/bin/com/folder/calendario/public/themes/silverCherry/images/silverCherry' does not exist.",1383769209513
error,log,,,"Resource '/external/birt-runtime-2_6_2/WebViewerExample/webcontent/birt/ajax/lib' does not exist.",1383769209518
error,log,,,"Resource '/FmCal/src/com/folder/calendario/public/js/ext/resources/images/default/dd' does not exist.",1383769209521
error,log,,,"Resource '/external/birt-runtime-osgi-3_7_2/birt-runtime-osgi-3_7_2/WebViewerExample/webcontent/birt/ajax/ui/app' does not exist.",1383769209526
error,log,,,"Resource '/fm-obj/src/com/asofarma/fm/category/model' does not exist.",1383769209530
error,log,,,"Resource '/external/birt-runtime-2_6_2/WebViewerExample/webcontent/birt/pages/layout' does not exist.",1383769209534
error,log,,,"Resource '/fm-obj/src/com/asofarma/fm/contact/model' does not exist.",1383769209538
error,log,,,"Resource '/fm-obj/src/com/asofarma/fm/sys/model' does not exist.",1383769209541
error,log,,,"Resource '/external/birt-runtime-osgi-3_7_2/birt-runtime-osgi-3_7_2/WebViewerExample/WEB-INF/platform/plugins' does not exist.",1383769209546
error,log,,,"Resource '/FmCal/bin/com/folder/calendario/public/themes/silverCherry/images/silverCherry' does not exist.",1383769209550
error,log,,,"Resource '/external/birt-runtime-2_6_2/WebViewerExample/webcontent/birt/images' does not exist.",1383769209555
error,log,,,"Resource '/external/birt-runtime-osgi-3_7_2/birt-runtime-osgi-3_7_2/WebViewerExample/WEB-INF/lib' does not exist.",1383769209558
error,log,,,"Resource '/external/birt-runtime-osgi-3_7_2/birt-runtime-osgi-3_7_2/WebViewerExample/WEB-INF/platform/plugins' does not exist.",1383769209562
error,log,,,"Resource '/FmCal/src/com/folder/calendario/public/themes/silverCherry/images/silverCherry' does not exist.",1383769209567
error,log,,,"Resource '/fm-obj/src/com/asofarma/fm/category/model' does not exist.",1383769209571
error,log,,,"Resource '/external/birt-runtime-2_6_2/WebViewerExample/webcontent/birt/styles' does not exist.",1383769209575
error,log,,,"Resource '/FmCal/bin/com/folder/calendario/public/js/ext/resources/images/default/tree' does not exist.",1383769209583
error,log,,,"Resource '/external/birt-runtime-osgi-3_7_2/birt-runtime-osgi-3_7_2/WebViewerExample/webcontent/birt/images' does not exist.",1383769209588
error,log,,,"Resource '/external/birt-runtime-2_6_2/WebViewerExample/webcontent/birt/styles' does not exist.",1383769209592
error,log,,,"Resource '/FmCal/www/com.folder.calendario.FmCal/js/ext/resources/images/default/tree' does not exist.",1383769209596
error,log,,,"Resource '/FmCal/src/com/folder/calendario/public/js/ext/resources/images/default/tree' does not exist.",1383769209599
error,log,,,"Resource '/FmCal/bin/com/folder/calendario/client/impl/date' does not exist.",1383769209604
error,log,,,"Resource '/external/birt-runtime-2_6_2/WebViewerExample/webcontent/birt/pages/dialog' does not exist.",1383769209608
error,log,,,"Resource '/external/zk-theme/fm/web/fm/img/zul/tab2' does not exist.",1383769209612
error,log,,,"Resource '/FmCal/src/com/folder/calendario/public/js/ext/resources/images/default/box' does not exist.",1383769209618
error,log,,,"Resource '/FmCal/bin/com/folder/calendario/public/js/ext/resources/images/vista/sizer' does not exist.",1383769209624
error,log,,,"Resource '/external/birt-runtime-osgi-3_7_2/birt-runtime-osgi-3_7_2/WebViewerExample/webcontent/birt/ajax/lib' does not exist.",1383769209628
error,log,,,"Resource '/FmCal/src/com/folder/calendario/public/js/ext/resources/images/default/box' does not exist.",1383769209632
error,log,,,"Resource '/FmCal/bin/com/folder/calendario/public/themes/silverCherry/images/silverCherry' does not exist.",1383769209636
error,log,,,"Resource '/external/birt-runtime-osgi-3_7_2/birt-runtime-osgi-3_7_2/ReportEngine/plugins/org.w3c.sac_1.3.0.v20120213/META-INF' does not exist.",1383769209640
