what,kind,bundleId,bundleVersion,description,time
error,log,,,"Resource '/external/birt-runtime-osgi-3_7_2/birt-runtime-osgi-3_7_2/WebViewerExample/webcontent/birt/ajax/taglib' does not exist.",1383769219508
error,log,,,"Resource '/fm-bz/ejbModule/com/asofarma/fm/wf/aspect' does not exist.",1383769219511
error,log,,,"Resource '/FmCal/src/com/folder/calendario/public/themes/silverCherry/images/silverCherry/masters' does not exist.",1383769219513
error,log,,,"Resource '/FmCal/www/com.folder.calendario.FmCal/js/ext/resources/images/gray/panel' does not exist.",1383769219518
error,log,,,"Resource '/fm-bz/ejbModule/com/asofarma/fm/fe/bz/spi' does not exist.",1383769219520
error,log,,,"Resource '/fm-obj/src/com/asofarma/fm/category/model' does not exist.",1383769219524
error,log,,,"Resource '/FmCal/bin/com/folder/calendario/public/js/ext/adapter/jquery' does not exist.",1383769219527
error,log,,,"Resource '/FmCal/src/com/folder/calendario/public/themes/silverCherry/images/silverCherry/masters' does not exist.",1383769219531
error,log,,,"Resource '/FmCal/src/com/folder/calendario/public/js/ext/resources/images/default/dd/old' does not exist.",1383769219535
error,log,,,"Resource '/FmCal/www/com.folder.calendario.FmCal/js/ext/resources/images/gray/tabs' does not exist.",1383769219539
error,log,,,"Resource '/external/birt-runtime-2_6_2/WebViewerExample/webcontent/birt/images' does not exist.",1383769219543
error,log,,,"Resource '/external/birt-runtime-osgi-3_7_2/birt-runtime-osgi-3_7_2/WebViewerExample/webcontent/birt/pages/common' does not exist.",1383769219547
error,log,,,"Resource '/FmCal/src/com/folder/calendario/public/themes/silverCherry/images/silverCherry' does not exist.",1383769219552
error,log,,,"Resource '/FmCal/src/com/folder/calendario/public/themes/silverCherry/images/silverCherry/masters' does not exist.",1383769219556
error,log,,,"Resource '/FmCal/bin/com/folder/calendario/client/date/week/staend' does not exist.",1383769219560
error,log,,,"Resource '/external/birt-runtime-2_6_2/WebViewerExample/webcontent/birt/ajax/ui/app' does not exist.",1383769219563
error,log,,,"Resource '/fm-obj/src/com/asofarma/fm/promotion/model' does not exist.",1383769219566
error,log,,,"Resource '/fm-bz/ejbModule/com/asofarma/fm/fe/dao' does not exist.",1383769219569
error,log,,,"Resource '/fm-obj/src/com/asofarma/fm/promotion/model' does not exist.",1383769219572
error,log,,,"Resource '/external/birt-runtime-2_6_2/WebViewerExample/WEB-INF/platform/plugins/org.eclipse.birt.report.data.oda.jdbc_2.6.2.r262_v20110127/META-INF' does not exist.",1383769219575
error,log,,,"Resource '/fm-bz/ejbModule/com/asofarma/fm/contact/dao' does not exist.",1383769219578
error,log,,,"Resource '/FmCal/src/com/folder/calendario/public/js/ext/resources/images/default' does not exist.",1383769219582
error,log,,,"Resource '/fm-bz/ejbModule/com/asofarma/fm/fe/bz/spi' does not exist.",1383769219585
error,log,,,"Resource '/fm-obj/src/com/asofarma/fm/promotion/model' does not exist.",1383769219588
error,log,,,"Resource '/external/birt-runtime-2_6_2/WebViewerExample/webcontent/birt/ajax/utility' does not exist.",1383769219592
error,log,,,"Resource '/fm-bz/ejbModule/com/asofarma/fm/bb/bz' does not exist.",1383769219595
error,log,,,"Resource '/external/birt-runtime-osgi-3_7_2/birt-runtime-osgi-3_7_2/WebViewerExample/WEB-INF/platform/plugins/org.eclipse.birt.report.data.oda.jdbc_3.7.2.v20120213' does not exist.",1383769219601
error,log,,,"Resource '/FmCal/src/com/folder/calendario/public/js/ext/resources' does not exist.",1383769219605
error,log,,,"Resource '/FmCal/bin/com/folder/calendario/public/js/ext/resources/css' does not exist.",1383769219608
error,log,,,"Resource '/external/birt-runtime-osgi-3_7_2/birt-runtime-osgi-3_7_2/WebViewerExample/webcontent/birt/pages/parameter' does not exist.",1383769219613
error,log,,,"Resource '/fm-obj/src/com/asofarma/fm/action/model' does not exist.",1383769219618
error,log,,,"Resource '/FmCal/bin/com/folder/calendario/public/js/ext/resources/images/default/sizer' does not exist.",1383769219621
error,log,,,"Resource '/fm-ws-web/src/com/asofarma/fm/visit/plan/ws' does not exist.",1383769219625
error,log,,,"Resource '/external/zk-theme/fm/web/fm/img/zul/panel' does not exist.",1383769219629
error,log,,,"Resource '/FmCal/src/com/folder/calendario/public/js/ext/resources/images/default/sizer' does not exist.",1383769219633
error,log,,,"Resource '/external/birt-runtime-2_6_2/WebViewerExample/WEB-INF/platform/plugins/org.eclipse.core.runtime.compatibility.registry_3.3.0.v20100520' does not exist.",1383769219637
error,log,,,"Resource '/FmCal/bin/com/folder/calendario/public/themes/silverCherry/images/silverCherry' does not exist.",1383769219640
